1000 200000
417 495 47
379 907 75
131 135 11
576 916 26
328 722 48
810 442 62
276 205 26
572 338 21
627 441 2
261 233 21
423 902 75
963 360 1
682 115 9
979 330 48
526 721 16
812 790 3
55 616 19
181 591 115
891 397 96
610 682 83
359 737 54
709 835 72
131 234 79
297 573 117
686 804 25
107 679 5
31 163 118
65 581 95
536 526 35
214 873 103
730 64 95
994 170 55
897 445 119
297 239 90
26 461 48
84 349 72
993 585 7
441 539 9
753 256 104
531 67 22
881 750 43
716 53 24
730 835 87
78 994 6
468 155 39
238 404 44
608 811 54
992 885 109
284 22 61
802 14 80
976 130 32
859 964 7
475 185 62
283 317 51
357 964 62
298 176 53
680 669 25
872 57 113
825 378 74
856 497 86
353 532 64
219 915 1
402 605 16
844 207 113
716 202 70
795 159 69
697 809 113
756 640 60
421 146 98
385 512 22
832 919 68
867 68 31
751 818 52
87 791 118
196 959 92
209 114 22
963 407 110
269 919 113
289 258 49
37 363 91
309 85 20
794 208 11
226 548 61
695 812 28
557 270 48
457 228 69
173 838 115
794 690 112
139 549 56
566 506 94
580 840 1
342 229 11
620 295 92
333 833 83
122 140 83
874 494 8
216 106 80
894 324 29
616 597 97
117 567 56
255 55 85
320 75 84
766 339 97
222 782 38
566 156 91
90 377 20
340 274 17
65 343 97
351 963 7
964 145 77
156 240 117
517 346 18
5 968 52
926 477 86
599 698 31
821 528 109
467 711 66
456 454 87
782 144 45
540 269 102
749 753 79
811 802 11
410 876 103
805 549 59
370 706 17
97 905 32
954 835 51
730 986 68
454 479 15
178 654 44
349 909 53
817 258 65
630 172 16
432 45 94
890 773 90
446 509 69
861 211 34
460 493 71
304 757 114
285 540 52
493 181 37
816 887 110
530 710 12
7 182 109
681 377 90
304 569 83
822 659 44
979 526 87
114 588 7
583 533 66
628 969 82
346 734 36
276 803 43
298 199 90
650 792 82
29 309 96
334 660 46
244 421 103
840 382 99
254 595 81
451 345 53
516 43 58
630 732 87
385 457 95
335 473 118
69 367 109
786 852 53
299 982 18
924 594 105
219 949 55
737 219 45
309 359 35
191 814 20
136 330 76
162 304 65
407 353 2
492 74 86
259 540 40
894 541 22
329 772 22
274 493 65
825 414 76
792 392 79
689 261 41
668 476 9
370 477 2
193 633 26
869 179 54
159 319 28
611 426 21
119 374 36
123 401 111
799 578 9
314 784 65
439 105 55
280 285 18
576 381 118
998 646 23
666 93 17
436 818 86
363 950 11
281 798 43
122 992 69
909 853 26
393 534 39
167 832 8
497 476 16
479 297 26
544 632 15
606 703 13
726 141 35
535 172 3
811 808 75
362 964 6
147 553 20
46 591 7
232 508 78
615 870 112
793 107 43
787 767 81
578 507 4
44 731 72
676 697 14
483 401 24
845 738 55
471 378 113
774 230 10
827 565 57
213 899 108
836 989 86
305 890 79
654 986 53
385 171 107
194 697 4
871 267 49
270 875 40
166 392 26
945 999 49
416 837 24
485 624 6
718 917 55
320 812 36
359 156 108
745 675 50
438 968 86
868 257 14
790 91 52
54 467 52
429 841 24
70 616 76
759 626 66
795 881 91
480 620 22
72 836 86
944 829 50
585 371 80
86 946 87
709 53 64
932 46 105
509 562 80
818 972 48
136 204 30
559 971 101
667 290 51
887 182 108
958 224 56
407 335 9
576 498 34
610 910 23
961 579 77
668 790 110
843 288 69
546 465 25
589 573 99
766 618 23
234 472 36
241 950 86
112 913 28
781 189 58
381 617 37
41 133 21
441 747 13
853 709 65
633 964 57
982 459 77
799 962 100
663 753 9
514 841 11
256 248 55
120 31 39
135 683 65
254 466 68
150 42 113
225 206 71
780 873 43
784 59 33
923 93 94
552 819 117
670 25 45
575 197 45
706 712 20
493 704 52
685 667 9
891 954 108
372 908 3
877 559 21
222 675 112
557 327 76
500 832 10
305 177 90
499 351 80
551 178 40
929 80 112
740 838 28
45 247 63
356 699 83
605 466 15
496 605 75
629 336 53
886 869 16
633 495 52
676 688 39
876 235 10
978 897 92
586 99 87
924 563 67
421 93 7
71 377 59
936 1 34
409 64 37
955 628 97
32 840 75
441 848 92
72 186 105
367 449 30
22 355 104
453 955 39
316 233 107
419 572 96
928 892 38
964 654 38
651 258 68
745 765 84
414 434 110
791 518 98
464 240 50
557 200 86
656 797 114
201 693 33
444 752 69
831 914 59
676 183 52
138 392 17
431 137 44
49 934 79
327 864 60
38 528 12
654 146 4
221 582 92
805 636 40
498 988 29
912 399 26
914 728 24
62 948 102
656 757 92
387 687 106
228 134 114
810 779 39
36 492 26
522 878 119
26 554 40
651 881 106
371 165 110
563 596 1
630 221 86
303 745 82
409 26 34
107 672 34
173 666 56
7 740 97
54 773 65
417 647 69
196 334 77
945 841 75
401 385 58
634 535 116
591 840 44
480 271 95
106 394 54
325 471 28
234 351 2
704 979 47
990 918 95
639 728 16
55 51 74
614 952 32
222 687 22
793 365 63
453 949 20
199 100 84
523 16 38
530 405 74
638 921 39
894 615 47
470 773 10
898 744 37
154 718 86
791 424 114
989 752 108
522 954 96
651 431 24
332 70 29
833 745 45
880 422 76
208 822 82
902 161 51
518 192 75
464 563 3
486 503 110
558 909 62
110 660 52
382 31 82
490 581 18
778 285 27
431 330 42
915 683 56
297 312 27
76 614 70
375 585 97
207 887 46
504 752 38
840 852 34
330 149 94
686 392 17
653 286 54
792 888 61
819 996 32
932 981 101
271 1 68
108 353 90
336 929 102
855 25 70
248 809 112
372 341 15
733 953 17
323 496 103
480 591 93
78 211 3
23 667 105
366 769 50
891 650 43
518 818 24
168 521 4
690 94 85
241 758 82
309 194 13
874 158 37
583 165 78
328 22 9
825 645 28
803 935 34
351 25 4
306 218 57
749 264 27
685 292 60
742 641 114
762 499 51
370 9 3
663 55 52
653 708 101
995 112 81
529 479 50
742 879 52
35 350 92
762 291 67
434 637 53
63 702 62
671 516 109
816 785 49
76 906 49
618 215 9
874 426 79
509 817 32
140 804 62
987 371 61
612 625 63
650 292 72
818 599 69
649 527 23
931 859 34
787 140 88
499 318 114
278 576 108
289 58 72
371 605 4
187 463 57
507 653 70
632 693 55
213 71 18
115 539 79
59 511 89
381 11 15
979 539 5
180 934 61
673 249 106
992 124 51
726 38 103
941 968 86
908 663 14
875 227 6
310 320 70
856 171 2
965 659 55
523 471 114
895 91 32
661 918 32
832 747 39
231 85 96
417 790 116
515 87 93
789 531 85
485 384 89
242 793 108
223 934 51
583 470 92
414 968 17
717 701 98
67 319 62
156 781 25
640 731 52
109 560 94
941 334 109
612 966 114
923 402 91
885 377 27
84 189 46
436 424 7
105 122 25
89 104 54
504 318 19
396 72 54
245 205 31
175 373 61
63 910 13
364 857 77
687 12 78
111 689 65
835 73 80
61 913 85
963 298 13
618 565 111
386 686 84
612 928 51
225 137 97
845 858 66
116 338 12
573 638 25
379 373 40
612 831 8
862 640 63
302 393 56
822 446 21
159 728 94
477 917 101
566 863 9
111 947 30
568 457 73
625 423 1
121 679 84
807 565 29
620 790 105
318 244 24
176 822 84
922 66 106
399 760 117
775 170 2
606 551 4
457 541 25
213 808 82
530 908 63
738 514 13
16 619 4
717 611 28
276 697 94
689 882 62
470 635 73
928 518 42
279 298 112
902 845 104
937 942 23
760 117 50
91 299 76
860 353 104
5 154 53
456 946 43
656 292 33
510 74 12
93 426 90
561 422 15
230 401 61
116 474 106
9 763 81
914 948 31
568 956 40
104 343 8
312 82 9
689 629 90
374 340 8
602 327 8
406 872 80
423 796 62
656 599 71
821 870 37
780 628 77
806 670 94
337 561 116
520 554 68
390 74 27
300 821 58
191 644 33
708 187 62
751 355 87
867 88 50
776 407 118
322 595 18
255 885 44
887 152 93
449 980 1
908 563 24
92 774 57
521 680 102
324 150 4
682 53 73
910 697 52
792 980 87
212 358 70
730 545 47
91 990 2
364 758 60
120 132 117
284 752 98
487 225 21
329 447 107
530 399 92
587 806 66
344 719 103
3 776 33
712 503 86
696 585 85
816 416 75
20 752 1
316 360 55
946 852 23
604 977 80
455 633 39
676 930 41
607 721 18
125 679 18
222 317 61
352 917 51
475 791 44
847 850 21
308 837 58
187 759 64
708 29 105
16 641 83
625 291 54
836 304 93
22 4 35
122 608 100
293 226 1
798 398 49
102 344 106
289 651 69
307 110 100
448 805 7
989 937 64
594 155 92
961 57 54
664 395 60
835 739 49
467 961 62
330 203 13
585 979 34
757 112 61
21 595 82
607 643 73
49 888 82
782 617 22
466 20 2
64 876 43
348 64 10
384 213 109
884 546 55
239 686 116
300 800 84
956 211 82
806 710 76
941 300 46
704 739 48
113 523 8
814 588 24
973 736 105
864 338 36
795 376 102
423 272 6
572 430 18
523 583 87
285 708 65
237 57 50
577 50 40
557 46 67
352 144 79
903 320 57
285 919 2
155 563 42
928 130 108
864 629 25
88 942 62
388 339 115
290 489 36
117 290 3
270 204 38
41 539 71
902 80 65
618 796 49
573 908 50
300 245 102
920 451 55
315 37 106
790 605 60
248 114 27
633 763 40
352 80 44
257 510 78
888 217 8
86 450 2
215 361 49
244 595 73
949 883 115
317 918 92
341 867 31
170 946 102
714 799 28
687 85 100
1 556 90
57 295 72
524 481 75
186 190 41
741 73 22
706 385 61
219 151 107
245 699 30
836 839 19
812 201 11
788 52 14
149 56 35
537 409 35
84 488 107
876 803 22
276 68 2
854 768 51
430 639 108
377 695 55
312 437 96
150 95 66
40 171 95
39 652 89
457 858 90
696 704 62
287 996 109
998 571 70
806 783 83
296 322 48
411 860 3
710 730 78
643 184 95
680 938 46
124 304 31
279 606 12
411 225 59
458 642 25
816 770 7
820 225 76
530 475 101
916 269 112
857 466 28
283 550 110
998 157 18
339 295 63
423 208 6
887 59 102
888 97 91
973 54 74
537 763 74
890 842 42
326 951 69
860 577 30
84 764 99
238 995 42
332 599 37
328 582 103
677 743 3
351 816 62
410 679 114
625 347 118
75 803 82
276 68 68
393 119 31
584 674 84
447 673 100
277 174 83
434 641 62
795 977 35
95 633 37
22 21 2
869 323 17
418 59 107
42 506 31
988 992 11
383 337 108
553 928 43
84 758 57
175 105 85
42 655 34
999 676 73
172 267 35
195 639 74
23 972 109
780 305 117
856 196 65
156 867 53
246 723 74
801 832 22
763 143 39
737 625 113
897 399 116
590 38 48
856 45 69
785 231 101
17 782 62
416 85 82
695 121 92
95 570 106
253 137 39
216 992 90
888 694 90
25 77 94
353 806 58
694 930 80
829 551 85
516 849 62
115 226 120
430 175 37
165 489 29
333 67 44
654 780 78
395 160 61
104 107 99
299 6 9
702 411 103
703 474 100
439 941 80
81 634 88
895 420 56
607 526 101
130 898 120
595 558 91
238 380 6
587 315 25
20 851 70
773 552 5
762 757 91
262 716 14
705 893 1
620 4 43
42 255 23
809 663 12
569 865 52
81 99 113
554 677 24
22 668 16
109 806 64
524 364 11
851 63 69
511 233 84
784 650 112
298 147 45
776 296 24
906 648 108
751 395 42
997 308 56
795 690 20
990 773 35
463 909 46
519 647 55
378 69 67
75 710 58
164 8 88
934 646 7
322 42 112
930 610 64
458 153 1
796 258 60
820 790 13
811 815 57
263 129 46
757 401 45
510 953 19
807 579 12
242 559 86
997 817 3
347 857 76
399 895 19
789 983 104
292 599 46
273 299 77
969 485 120
560 797 112
413 33 20
831 898 72
218 235 45
867 474 4
173 418 78
591 262 1
673 150 112
357 65 12
88 10 43
891 42 31
775 264 48
205 667 7
900 791 41
46 641 6
905 877 21
503 976 104
429 408 69
6 540 14
198 829 58
308 869 59
856 738 8
323 681 55
963 194 12
733 641 42
466 648 61
916 62 79
221 454 26
900 405 77
163 584 44
232 536 119
212 507 103
907 830 31
367 770 69
58 266 46
432 326 75
913 942 114
909 975 63
920 974 90
937 446 114
663 771 95
160 539 82
285 871 14
444 348 27
968 682 18
451 66 102
187 110 59
755 577 25
129 102 13
356 482 11
400 59 33
913 435 114
904 819 41
288 961 45
426 219 80
586 113 69
204 300 103
5 349 90
542 594 56
459 699 10
91 489 2
479 974 6
837 382 45
838 466 30
383 124 21
986 835 91
515 99 62
3 882 56
644 724 86
809 926 51
907 106 77
742 978 65
813 19 38
713 169 52
420 560 110
924 462 4
599 985 79
724 616 35
557 64 120
3 936 73
79 971 26
677 441 19
773 11 113
537 514 79
936 586 23
69 755 34
750 612 69
854 308 83
199 37 47
566 24 92
943 331 120
82 4 103
685 364 8
128 145 69
798 238 37
282 380 82
430 44 15
767 496 38
830 61 106
74 735 102
660 981 27
633 744 62
4 596 102
913 846 38
917 888 41
795 441 105
459 23 12
124 952 56
968 978 39
766 47 9
403 484 47
292 947 91
608 503 91
999 79 116
4 312 36
867 365 50
904 10 70
393 808 14
489 642 30
743 720 64
553 903 20
105 249 15
426 31 1
154 233 74
136 290 79
448 25 47
18 805 57
689 550 114
500 530 97
819 530 90
974 947 28
112 723 73
617 549 53
613 889 107
890 918 68
8 462 30
604 83 18
751 25 69
209 607 105
863 902 11
777 885 2
347 152 67
556 602 77
26 710 88
402 441 78
91 363 71
340 672 52
711 734 20
477 829 21
786 254 93
101 123 4
256 899 107
42 483 119
521 759 118
393 475 14
550 483 24
905 818 118
344 960 30
181 718 20
339 614 15
281 701 86
760 846 52
590 582 40
314 956 89
719 305 89
170 17 10
495 185 48
193 164 101
957 921 59
523 145 64
919 164 87
119 473 85
488 755 22
182 986 119
90 233 114
896 94 1
402 404 36
808 329 16
980 137 114
790 356 87
90 486 73
946 927 39
697 501 63
333 646 92
395 750 5
976 887 56
143 586 14
862 80 2
523 395 33
776 607 54
838 561 18
50 686 34
601 124 112
301 864 120
715 916 70
439 590 109
950 997 64
721 810 11
573 456 20
135 115 113
74 997 84
858 240 5
849 259 13
295 268 31
644 873 8
213 453 8
301 717 62
341 400 60
171 798 106
350 566 108
1000 716 17
885 276 88
293 273 14
969 658 92
899 842 103
345 483 108
763 500 63
226 244 13
643 223 28
160 27 84
623 384 120
841 227 3
928 337 81
900 121 74
892 295 28
956 375 62
765 941 82
413 10 67
884 607 80
454 513 117
189 449 112
209 79 115
791 194 24
797 618 78
958 812 112
814 651 110
449 128 71
511 726 101
996 467 9
355 295 36
372 84 65
645 513 109
245 457 46
253 866 42
156 238 85
291 470 6
317 126 72
621 448 51
102 912 70
688 446 18
594 466 99
26 609 60
157 453 18
881 244 62
474 308 112
140 152 7
458 860 93
504 825 10
515 698 35
694 445 109
249 419 7
780 947 10
874 95 17
393 717 65
63 421 20
926 364 98
691 932 118
937 97 28
180 162 103
938 584 68
711 789 4
206 160 55
228 306 36
251 156 112
100 469 98
107 44 120
216 474 9
188 646 57
225 481 55
84 312 38
319 466 8
435 386 45
728 662 47
988 975 11
777 537 62
841 979 61
333 4 42
821 199 48
209 280 18
704 814 10
515 529 13
751 994 39
77 700 91
981 735 48
715 751 114
264 477 3
831 52 13
588 769 67
15 22 30
898 170 103
831 622 96
847 507 56
394 679 57
542 226 119
865 42 73
626 552 79
290 881 38
306 708 3
428 52 76
838 841 111
351 494 42
410 537 74
188 615 83
384 474 31
33 218 65
133 321 9
560 947 40
444 128 31
818 612 79
722 678 79
473 368 83
797 688 1
71 870 37
391 637 110
215 835 120
397 338 42
766 255 34
336 571 23
742 194 61
266 939 7
323 255 69
368 87 114
110 428 13
828 78 100
166 765 83
546 611 16
576 381 72
420 390 41
346 457 35
859 1000 75
882 8 27
370 714 113
136 671 90
514 590 8
566 857 5
626 593 92
128 99 92
494 237 34
657 305 80
428 889 116
326 280 86
677 30 35
522 377 15
158 279 58
578 448 59
930 293 37
228 862 20
60 586 31
498 271 53
538 418 2
455 328 82
178 983 17
724 512 115
121 999 38
62 844 7
395 630 56
43 493 26
537 177 105
369 112 33
148 641 30
339 661 6
875 584 83
561 787 9
562 87 91
419 374 108
367 874 4
764 732 71
574 373 8
648 918 54
315 102 92
735 939 28
314 611 97
819 85 24
593 396 91
102 29 25
790 235 120
702 340 15
931 630 17
89 39 104
921 604 5
38 622 12
78 863 74
525 746 13
361 564 11
677 99 13
373 894 100
661 57 86
339 883 79
531 728 85
453 641 83
683 658 115
827 767 16
347 214 63
570 171 109
501 842 17
180 400 81
580 722 100
779 165 50
524 295 45
674 761 32
689 578 58
484 365 25
554 110 43
424 512 86
589 321 36
30 844 118
250 11 73
907 584 24
102 384 67
789 105 46
981 358 74
578 450 80
798 149 47
744 1 50
845 866 27
181 808 35
362 854 37
879 373 11
683 523 30
377 48 4
445 831 91
293 70 69
119 900 48
141 110 28
521 679 46
934 32 103
811 728 27
945 495 17
94 780 81
300 342 86
536 589 60
920 108 90
945 409 115
225 811 89
252 796 17
188 813 15
359 125 49
560 306 39
691 462 88
60 501 89
998 398 102
591 234 59
445 373 42
720 809 88
621 882 57
304 892 66
811 963 90
458 655 15
874 957 16
574 802 26
7 753 37
872 630 19
151 626 22
231 983 14
514 308 69
944 963 103
343 931 4
580 614 103
862 732 119
867 464 44
863 967 51
589 829 20
804 81 96
512 33 107
963 533 118
564 75 15
776 864 20
985 121 38
338 166 116
259 621 61
453 994 5
775 606 2
197 320 34
508 366 90
716 151 70
670 952 91
949 306 73
434 172 48
195 628 84
252 424 31
496 815 42
259 611 36
173 332 24
723 406 82
606 989 61
368 849 42
413 645 62
107 140 68
874 888 83
565 969 57
9 684 72
779 883 86
969 235 120
752 506 73
177 983 104
468 546 75
14 335 73
342 683 21
389 343 91
866 359 84
442 821 85
903 776 46
425 229 28
702 350 18
890 844 84
215 887 60
461 69 49
423 614 25
779 935 29
540 339 61
895 397 18
815 684 22
380 729 44
359 548 32
155 263 107
348 587 107
598 581 19
530 902 60
865 667 88
504 541 105
51 702 69
659 914 74
137 112 94
830 429 80
953 389 45
568 590 13
507 340 49
837 498 111
841 601 41
67 371 113
390 257 54
507 729 93
277 717 38
900 668 113
47 177 14
375 880 54
947 349 47
691 326 81
86 974 4
133 941 71
704 483 10
6 827 53
937 600 109
620 612 116
481 424 24
303 624 11
969 756 54
616 492 66
497 577 112
264 425 50
456 340 120
592 728 90
773 954 79
719 482 78
358 14 118
662 464 117
633 568 16
804 733 50
300 3 5
478 109 19
53 43 82
793 983 76
36 293 87
844 867 40
634 27 34
849 141 41
412 630 108
623 331 99
40 969 31
886 645 55
698 569 30
468 389 1
834 202 86
314 509 2
520 183 80
991 542 43
579 958 22
66 644 68
375 545 42
239 76 33
271 237 10
607 795 61
656 44 26
298 380 118
989 171 114
828 141 54
277 645 103
372 802 34
865 74 26
375 21 75
237 223 71
872 629 25
678 745 74
753 991 77
531 716 100
235 403 73
115 788 78
998 828 110
951 860 118
251 997 35
283 739 40
555 807 99
617 424 17
260 692 41
874 281 69
525 261 6
156 204 91
846 466 59
489 85 31
101 200 36
840 1 24
338 552 118
122 546 30
788 371 84
867 466 77
720 694 14
766 446 72
396 582 95
459 793 74
867 283 30
371 380 112
348 597 98
882 851 118
60 267 42
855 688 112
559 848 10
865 276 108
340 20 119
192 209 85
275 349 36
142 165 81
188 237 5
376 438 91
251 151 5
509 947 41
796 84 8
480 752 33
165 23 33
360 752 53
413 981 59
868 880 67
743 856 81
722 421 96
89 350 115
237 35 40
764 245 72
403 211 75
791 996 44
776 64 73
742 637 22
862 842 43
438 804 64
589 27 112
535 733 77
26 474 52
41 526 95
726 174 83
661 59 18
284 141 15
909 749 71
97 535 28
138 533 20
720 431 103
271 276 117
110 178 7
472 562 17
618 622 56
602 736 117
971 1 41
962 794 99
885 44 42
197 961 95
362 43 39
680 96 95
136 489 76
222 223 90
137 738 3
797 996 16
597 399 103
396 268 55
56 839 2
790 98 113
530 545 77
848 4 71
249 526 47
758 484 76
26 946 90
699 618 36
728 80 64
656 291 82
696 841 108
407 141 14
272 667 78
921 166 31
478 62 56
168 356 42
83 853 82
146 594 2
818 264 48
950 944 84
485 379 51
136 935 79
880 514 117
772 62 8
325 19 1
947 135 109
758 884 107
265 244 46
676 418 109
679 885 37
957 128 71
544 676 116
848 971 82
114 628 64
501 248 62
850 878 8
216 124 32
254 947 41
382 65 91
700 815 25
753 692 52
125 548 83
975 661 5
